"plan_id","name","edu_section_binary","edu_section_detail","edu_strategy","edu_what","edu_target_audience","edu_content_type","edu_topic","edu_staff_binary","edu_staff_detail","edu_funding_binary","edu_funding_detail","edu_outcome_binary","edu_outcome_detail","edu_indicator_binary","edu_indicator_detail","obs_id"
1,"Channel Islands National Marine Sanctuary Marine Reserve Network",1,"Strategy AU.1 – Education Program Development","AU.1 – Education Program Development","Collaborate toward community presentations and/or workshops","Schools, students, and educators; Local residents; Scientists; Organizations as potential collaborators","Development; Implementation","EE",1,"Education and Outreach staff",1,"USD $376,000 estimated 5 yr cost",1,"To link local teachers with national efforts to improve ocean literacy",1,"Partnership with UCSB initiated in 2001; materials to be updated and staff support provided biannually or as requested by Floating Lab Program staff","1"
1,"Channel Islands National Marine Sanctuary Marine Reserve Network",1,"Strategy AU.1 – Education Program Development","AU.2: Community Involvement","Local volunteer/steward program","General public; Local residents; Schools, students, and educators; Scientists; Organizations as potential collaborators","Development; Implementation","EE",1,"Education and Outreach staff",1,"USD $258,000 estimated 5 yr cost",1,"To increase community awareness about the Channel Islands National Marine Sanctuary and the National Marine Sanctuary Program through the development of CINMS volunteers and interns.",1,"Formalized intern program initiated in 1998; to continue across years 1-5","2"
1,"Channel Islands National Marine Sanctuary Marine Reserve Network",1,"Strategy AU.1 – Education Program Development","AU.3: Team OCEAN","Local volunteer/steward program","Visitors; General public; Local residents; Schools, students, and educators; Scientists; Organizations as potential collaborators","Development; Implementation","EE",1,"Education and Outreach staff",1,"USD $136,500 estimated 5 yr cost",1,"To build on the success of Team OCEAN Programs at other national marine sanctuaries by fully achieving the network’s three primary goals.",1,"Establish volunteer program by year 2 or in accordance with NMSP schedule","3"
1,"Channel Islands National Marine Sanctuary Marine Reserve Network",1,"Strategy AU.1 – Education Program Development","AU.4: Developing Outreach Technology","Media marketing and science communication","General public; Local residents; Schools, students, and educators; Scientists; Organizations as potential collaborators","Development; Implementation","EE",1,"Education and Outreach staff",1,"USD $362,500 estimated 5 yr cost",1,"To provide timely and accurate information about the Sanctuary’s natural resources, issues and activities as they occur",1,"Evolving since 2001; upgrades to continue across years 1-5","4"
1,"Channel Islands National Marine Sanctuary Marine Reserve Network",1,"Strategy AU.1 – Education Program Development","AU.5: Greater Southern CA Outreach","Community presentations and/or workshops","General public; Local residents; Schools, students, and educators; Scientists; Organizations as potential collaborators","Development; Implementation","EE",1,"Education and Outreach staff",1,"USD $165,000 estimated 5 yr cost",1,"To establish a presence and identity for the Sanctuary and its various programs in the Ventura and Los Angeles region.",1,"Began in 2001, program development continues in years 1-5","5"
1,"Channel Islands National Marine Sanctuary Marine Reserve Network",1,"Strategy AU.1 – Education Program Development","AU.6: Education & Outreach Tools & Products","Media marketing and science communication","Visitors; General public; Local residents; Schools, students, and educators; Scientists; Organizations as potential collaborators","Development; Implementation","EE",1,"Education and Outreach staff",1,"USD $561,500 estimated 5 yr cost",1,"To provide Sanctuary information to a widely diverse audience.",1,"Existing materials to be updated and maintained throughout years 1-5 as appropriate; Team OCEAN materials to be updated by year 3","6"
1,"Channel Islands National Marine Sanctuary Marine Reserve Network",1,"Strategy AU.1 – Education Program Development","AU.7: Visitor Center Support & Development","Improve visitor infrastructure","Visitors; General public; Local residents; Schools, students, and educators; Scientists; Organizations as potential collaborators","Development; Implementation","EE",1,"Education and Outreach staff",1,"USD $159,000 estimated 5 yr cost",1,"To maximize the Sanctuary’s regional public exposure through the development of exhibits and programs at planned and developed marine and natural resource-based visitor centers.",1,"Over the next five years, the Sanctuary will complete implementation of a CINMS Master Facilities Plan to maximize CINMS’ regional public exposure through the development of exhibits and programs at planned and developed marine and natural resource-based visitor centers.","7"
1,"Channel Islands National Marine Sanctuary Marine Reserve Network",1,"Strategy AU.1 – Education Program Development","AU.8: MPA Network Education","Community presentations and/or workshops","General public; Visitors; Local residents; Schools, students, and educators; Scientists; Organizations as potential collaborators","Development; Implementation","EE",1,"Education and Outreach staff",1,"USD $117,000 estimated 5 yr cost",1,"To raise awareness and understanding among the general public and Sanctuary users of the system of marine reserves and conservation areas within the Sanctuary.",1,"Sanctuary Education Team (SET) advice in 2002 and 2003; implementation to continue across years 1-5","8"
1,"Channel Islands National Marine Sanctuary Marine Reserve Network",1,"Strategy AU.1 – Education Program Development","AU.9: Multicultural Education","School presentations and/or workshops","Schools, students, and educators; Local residents; Local youth; General public; Organizations as potential collaborators; Migrant families and communities; Media journalists","Development; Implementation","EE",1,"Bilingual Community Liaison",1,"USD $132,000 estimated 5 yr cost",1,"Utilizing the findings of the needs assessment study, a Multicultural Education for Resource Issues Threatening Oceans (MERITO) program logic model was designed that allowed Sanctuary staff to determine and measure the program’s short and long-term outcomes, foresee the required resources, and plan the activities required for achieving the program’s goals and objectives.",1,"The CINMS MERITO Strategic Plan includes education and outreach strategies to be implemented within a five-year time-frame in collaboration with community partners.","9"
2,"Santuario de Flora y Fauna Malpelo",1,"RESULT 1.6 Five stakeholders with educational processes developed within the framework of the national guideline for environmental education in National Natural Parks.","Implementation of environmental education actions in coordination with institutions educational district of Buenaventura for teachers and students in order to raise awareness about the importance of ecosystem services, provided by protected areas, mainly Malpelo, and the sustainable use of the resource fishing.","School presentations and/or workshops","Schools, students, and educators; Local residents","Development; Implementation","EE",1,"DTPA/Chief AP/Professional/Technologist",0,"Not specified",1,"Develop educational and outreach actions, mainly associated with the ecotourism activities.",1,"Action Tracking Reports: educational initiatives implemented with institutions educational of the district of Bonaventure (Teachers and students) in Years 1-4","10"
